Stimuli,GPT Temp 0,GPT Temp .5,GPT Temp 1,GPT Continuous Temp 0,GPT Continuous Temp .5,GPT Continuous Temp 1,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum
the truck fire., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,1.96,1.6,27,0,0,0,0.15,9,3889,3.59,444,2738,3182,2.65,3.44,6.08
the home television., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.48,1.09,29,0,0,0,0.15,14,11058,4.04,8831,2033,10864,3.95,3.31,7.25
the library book., Makes Sense, Makes Sense, Makes Sense,4,3,4,1,4,0,29,0.32,0.794,0.56,0.74,11,75012,4.88,942,4932,5874,2.97,3.69,6.67
the tree house., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.93,0.37,29,0.03,0.074,0.05,0.15,9,87604,4.94,1293,8601,9894,3.11,3.93,7.05
the railroad building., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,2.79,1.37,29,0,0,0,0.25,16,4496,3.65,117,2854,2971,2.07,3.46,5.52
the salmon beef., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.62,1.08,29,,0,0,0.09,10,0,0,216,296,512,2.33,2.47,4.81
the onion bulb., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3,1.63,29,0,0,0,0.2,9,2589,3.41,170,116,286,2.23,2.06,4.29
the school book., Makes Sense, Makes Sense, Makes Sense,4,3,4,1,3.86,0.59,28,0.02,0.071,0.05,0.12,10,30310,4.48,6984,4932,11916,3.84,3.69,7.54
the cop street., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.93,0.84,29,0,0,0,0.46,9,0,0,155,4546,4701,2.19,3.66,5.85
the window palace., Makes Sense, Makes Sense, Nonsense,4,3,3,-1,1.46,1.23,28,0,0,0,0.14,12,90,1.96,2372,761,3133,3.38,2.88,6.26
the phone radio., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.5,1.35,28,0,0,0,0.22,10,5114,3.71,1414,1503,2917,3.15,3.18,6.33
the fire engine., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.79,0.62,29,0.1,0.024,0.06,0.08,10,112443,5.05,2738,788,3526,3.44,2.9,6.33
the juice snake., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.32,0.77,28,0,0,0,0.08,10,0,0,365,263,628,2.56,2.42,4.98
the chicken rib., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,3,1.39,29,0,0,0,0.15,10,101,2.01,534,44,578,2.73,1.64,4.37
the lake bed., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,2.17,1.75,29,0,0,0,0.07,7,29428,4.47,718,4376,5094,2.86,3.64,6.5
the dog corn., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.64,0.95,28,0,0,0,0.05,7,94,1.98,1285,445,1730,3.11,2.65,5.76
the dog police., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,2.25,1.38,28,0,0,0,0.06,9,779,2.89,1285,3770,5055,3.11,3.58,6.69
the knee pants., Makes Sense, Makes Sense, Nonsense,2,2,2,1,1.14,1.35,28,0,0,0,0.45,9,2508,3.4,527,282,809,2.72,2.45,5.17
the pendulum clock., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.71,0.71,28,,0.275,0.28,0.19,13,12550,4.1,67,637,704,1.83,2.8,4.63
the seat chair., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.96,1.07,28,0.21,0.543,0.38,0.33,9,4231,3.63,1396,1876,3272,3.14,3.27,6.42
the boy water., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.61,1.03,28,0,0,0,0.07,8,1698,3.23,3876,7749,11625,3.59,3.89,7.48
the knee cap., Makes Sense, Makes Sense, Makes Sense,4,2,2,1,3.82,0.77,28,0.15,0.04,0.1,0.34,7,25268,4.4,527,489,1016,2.72,2.69,5.41
the brick fireplace., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.93,0.38,28,0,0,0,0.3,14,25203,4.4,498,148,646,2.7,2.17,4.87
the flower salad., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,1.54,1.26,28,0,0,0,0.02,11,402,2.61,496,281,777,2.7,2.45,5.14
the farmer wife., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,2.52,1.4,29,0.11,0,0.06,0.31,10,377,2.58,562,3777,4339,2.75,3.58,6.33
the tongue lizard., Makes Sense, Makes Sense, Makes Sense,4,2,2,-1,1.14,1.19,29,0,0,0,0.12,12,1014,3.01,602,32,634,2.78,1.51,4.28
the water sea., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.25,0.84,28,0.05,0.014,0.03,0.27,8,4619,3.66,7749,2872,10621,3.89,3.46,7.35
the jacket ski., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.69,0.97,29,0,0,0,0.3,9,1800,3.26,617,110,727,2.79,2.04,4.83
the tennis queen., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,2.82,1.19,28,0,0,0,0.09,11,603,2.78,398,889,1287,2.6,2.95,5.55
the radio plant., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,0.79,1.24,29,0,0,0,0.02,10,398,2.6,1503,1302,2805,3.18,3.11,6.29
the mountain winter., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,2.17,1.65,29,0,0,0,0.24,14,1795,3.25,829,1423,2252,2.92,3.15,6.07
the rib chicken., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,0.96,1.1,28,,0.014,0.01,0.15,10,67,1.83,44,534,578,1.64,2.73,4.37
the circle sheet., Makes Sense, Makes Sense, Nonsense,2,2,2,1,1.61,1.64,28,0,0,0,0.08,11,93,1.97,861,616,1477,2.94,2.79,5.72
the pine forest., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.96,0.19,28,0.05,0.068,0.06,0.57,10,109604,5.04,217,1219,1436,2.34,3.09,5.42
the cap field., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.61,1.17,28,0,0,0,0.15,8,253,2.4,489,2327,2816,2.69,3.37,6.06
the kitchen dish., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.25,1.11,28,0,0.01,0,0.49,11,1226,3.09,1890,390,2280,3.28,2.59,5.87
the crab cake., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.72,1.03,29,0,0,0,0.03,8,24328,4.39,81,383,464,1.91,2.58,4.49
the infant puppy., Nonsense, Makes Sense, Nonsense,2,2,2,1,2.86,1.33,28,0,0,0,0.14,11,64,1.81,372,87,459,2.57,1.94,4.51
the seat toilet., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.03,0.87,29,0,0.021,0.01,0.22,10,2419,3.38,1396,415,1811,3.14,2.62,5.76
the water truck., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,3.1,1.29,29,0,0,0,0.07,10,15408,4.19,7749,444,8193,3.89,2.65,6.54
the snow winter., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.25,1.21,28,0.01,0.026,0.02,0.67,10,3762,3.58,1055,1423,2478,3.02,3.15,6.18
the fire ant., Makes Sense, Makes Sense, Nonsense,2,2,2,1,3.48,1.18,29,0,0,0,0.06,7,60853,4.78,2738,69,2807,3.44,1.84,5.28
the school university., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.64,1.37,28,0,0,0,0.33,16,21780,4.34,6984,3526,10510,3.84,3.55,7.39
the leg pants., Nonsense, Makes Sense, Nonsense,2,2,2,-1,0.89,1.12,27,0,0,0,0.31,8,16523,4.22,1137,282,1419,3.06,2.45,5.51
the summer rose., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.28,1.22,29,0,0,0,0.2,10,1741,3.24,2165,1356,3521,3.34,3.13,6.47
the butt bubble., Nonsense, Nonsense, Nonsense,2,2,1,-1,1.03,1.15,29,,0,0,0.13,10,13194,4.12,121,75,196,2.08,1.88,3.96
the summer beach., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.1,1.26,29,0.02,0.071,0.05,0.26,11,15472,4.19,2165,1060,3225,3.34,3.03,6.36
the boot menu., Nonsense, Makes Sense, Makes Sense,2,2,2,1,0.64,1.16,28,0,0,0,0.04,8,30213,4.48,159,130,289,2.2,2.11,4.32
the hotel butter., Makes Sense, Makes Sense, Makes Sense,2,3,2,1,2.46,1.43,28,0,0,0,0.06,11,379,2.58,2241,490,2731,3.35,2.69,6.04
the water bowl., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,4,0,29,0,0,0,0.22,9,31989,4.51,7749,525,8274,3.89,2.72,6.61
the car phone., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.69,0.97,29,0,0,0,0.16,8,52799,4.72,4944,1414,6358,3.69,3.15,6.84
the sailor boy., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,3.79,0.57,28,0.08,0,0.04,0.16,9,4169,3.62,101,3876,3977,2,3.59,5.59
the neck bottle., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.07,1.13,29,0,0,0,0.21,10,3003,3.48,1327,1479,2806,3.12,3.17,6.29
the building house., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.52,1.15,29,0.18,0.119,0.15,0.2,13,9507,3.98,2854,8601,11455,3.46,3.93,7.39
the lawn hospital., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.36,0.68,28,0,0,0,0.08,12,0,0,368,1884,2252,2.57,3.28,5.84
the swimming ocean., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.64,1.19,28,,,,0.24,13,437,2.64,490,436,926,2.69,2.64,5.33
the jail doctor., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.61,1.52,28,0,0,0,0.05,10,576,2.76,530,2376,2906,2.72,3.38,6.1
the cafe road., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.04,1.29,28,0,0,0,0.27,8,0,0,342,3791,4133,2.53,3.58,6.11
the plant pea., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1.07,0.88,29,0,0,0,0.47,8,102,2.01,1302,30,1332,3.11,1.48,4.59
the chair dog., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.44,0.85,27,0,0,0,0.09,8,799,2.9,1876,1285,3161,3.27,3.11,6.38
the cycle hurricane., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.03,1.02,29,,0,0,0.07,14,0,0,471,64,535,2.67,1.81,4.48
the barn cat., Makes Sense, Makes Sense, Makes Sense,2,3,2,1,3.44,1.05,27,0,0,0,0.24,7,3197,3.5,186,739,925,2.27,2.87,5.14
the gym school., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1.31,0.97,29,0,0,0,0.43,9,202,2.31,73,6984,7057,1.86,3.84,5.71
the window home., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.11,1.23,28,0,0,0,0.21,10,3102,3.49,2372,8831,11203,3.38,3.95,7.32
the circle flower., Makes Sense, Makes Sense, Nonsense,2,3,2,-1,1.18,1.28,28,0,0,0,0.09,12,192,2.29,861,496,1357,2.94,2.7,5.63
the ball cap., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.11,1.55,28,0,0,0,0.17,7,35676,4.55,1664,489,2153,3.22,2.69,5.91
the bag chair., Nonsense, Makes Sense, Nonsense,2,2,2,1,1.39,1.45,28,0,0,0,0.3,8,31383,4.5,1122,1876,2998,3.05,3.27,6.32
the home field., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.24,1.3,29,0,0,0,0.08,9,79476,4.9,8831,2327,11158,3.95,3.37,7.31
the home shepherd., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1,1.13,29,0,0,0,0.2,12,125,2.1,8831,95,8926,3.95,1.98,5.92
the mother hawk., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,3.61,0.88,28,0,0,0,0.12,10,213,2.33,7356,71,7427,3.87,1.85,5.72
the coffee milk., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,2.04,1.37,28,0.02,0.041,0.03,0.29,10,2681,3.43,1644,1868,3512,3.22,3.27,6.49
the pill gun., Nonsense, Makes Sense, Makes Sense,2,2,2,1,0.93,1.33,29,0,0,0,0.06,7,359,2.56,233,1138,1371,2.37,3.06,5.42
the nose chocolate., Makes Sense, Makes Sense, Nonsense,2,3,2,-1,0.48,1.09,27,0,0,0,0.16,13,0,0,1307,232,1539,3.12,2.37,5.48
the mountain bike., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,29,0,0,0,0.04,12,613988,5.79,829,153,982,2.92,2.18,5.1
the deer leg., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.59,0.95,29,0,0,0,0.15,7,782,2.89,210,1137,1347,2.32,3.06,5.38
the lid toilet., Makes Sense, Makes Sense, Makes Sense,4,2,2,-1,1.07,1,29,0,0,0,0.17,9,0,0,246,415,661,2.39,2.62,5.01
the apple candy., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,3.07,1.02,28,0,0,0,0.31,10,1377,3.14,315,113,428,2.5,2.05,4.55
the sugar blood., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.96,1.2,28,0,0,0,0.12,10,2654,3.42,976,2536,3512,2.99,3.4,6.39
the sea winter., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.33,0.62,27,0,0,0,0.09,9,828,2.92,2872,1423,4295,3.46,3.15,6.61
the blood bible., Makes Sense, Makes Sense, Makes Sense,4,2,2,1,0.83,1.23,29,0,0,0,0.01,10,49,1.7,2536,7,2543,3.4,0.85,4.25
the ape blood., Nonsense, Nonsense, Nonsense,2,2,2,1,2.96,1.26,28,0,0,0,0.07,8,178,2.25,90,2536,2626,1.95,3.4,5.36
the bed iris., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.59,0.87,29,0,0,0,-0.01,7,0,0,4376,30,4406,3.64,1.48,5.12
the hen mother., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,2.55,1.33,29,0,0,0,0.26,9,210,2.32,100,7356,7456,2,3.87,5.87
the kangaroo rat., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.07,1.61,28,,0,0,0.38,11,18443,4.27,36,156,192,1.56,2.19,3.75
the kitchen garden., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,1.57,1.32,28,0.01,0,0,0.27,13,41343,4.62,1890,1998,3888,3.28,3.3,6.58
the cabin ski., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1.07,0.96,29,0,0,0,0.22,8,136,2.14,485,110,595,2.69,2.04,4.73
the sugar corn., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,1.43,1.57,28,0,0,0,0.23,9,879,2.94,976,445,1421,2.99,2.65,5.64
the toad frog., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,1.36,1.28,28,0.34,0.828,0.58,0.87,8,552,2.74,56,74,130,1.75,1.87,3.62
the money orchestra., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,0.46,0.74,28,0,0,0,0.01,14,0,0,7226,244,7470,3.86,2.39,6.25
the beach umbrella., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.69,0.93,29,0,0,0,0.22,13,32280,4.51,1060,203,1263,3.03,2.31,5.33
the house beach., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.21,1.2,28,0,0,0,0.13,10,2860,3.46,8601,1060,9661,3.93,3.03,6.96
the water rain., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.25,1.29,28,0.03,0,0.02,0.32,9,933,2.97,7749,1279,9028,3.89,3.11,7
the dwarf star., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,2.32,1.83,28,0.01,0,0,0.25,9,16701,4.22,129,952,1081,2.11,2.98,5.09
the nut banana., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,0.93,0.9,28,0,0,0,0.07,9,356,2.55,123,74,197,2.09,1.87,3.96
the dish face., Nonsense, Makes Sense, Nonsense,2,2,2,1,1,1.33,28,0,0,0,0.14,8,482,2.68,390,8000,8390,2.59,3.9,6.49
the leaf gold., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.86,0.97,28,0.02,0,0.01,0.08,8,2585,3.41,279,1575,1854,2.45,3.2,5.64
the cake square., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,2.11,1.69,28,0,0,0,0.05,10,282,2.45,383,1652,2035,2.58,3.22,5.8
the church door., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.93,0.26,28,0.01,0,0,0.07,10,22737,4.36,2844,5891,8735,3.45,3.77,7.22
the mouth water., Makes Sense, Makes Sense, Nonsense,2,3,3,1,1.79,1.4,29,0.04,0.011,0.03,0.15,10,41114,4.61,2411,7749,10160,3.38,3.89,7.27
the seat bench., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.93,1.56,29,0.1,0,0.05,0.36,9,3833,3.58,1396,345,1741,3.14,2.54,5.68
the sand island., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,2.96,1.37,28,0,0,0,0.2,10,7658,3.88,952,1209,2161,2.98,3.08,6.06
the snake pet., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1.5,1.26,28,0,0,0,0.25,8,432,2.64,263,242,505,2.42,2.38,4.8
the woman mountain., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.43,0.74,28,0,0,0,0.05,13,1060,3.03,6072,829,6901,3.78,2.92,6.7
the tree nut., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,2.36,1.45,28,0,0,0,0.27,7,10242,4.01,1293,123,1416,3.11,2.09,5.2
the building hospital., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.14,1.15,28,0,0,0,0.1,16,345,2.54,2854,1884,4738,3.46,3.28,6.73
the soup kitchen., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.72,0.88,29,0.02,0,0.01,0.51,11,79082,4.9,362,1890,2252,2.56,3.28,5.84
the child girl., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.59,1.18,29,0.02,0.02,0.02,0.23,9,6318,3.8,7645,4944,12589,3.88,3.69,7.58
the orange flame., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,3.79,0.83,28,0,0,0,0.23,11,5279,3.72,495,268,763,2.69,2.43,5.12
the chocolate dog., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,1.31,1.31,29,0,0,0,0.19,12,1310,3.12,232,1285,1517,2.37,3.11,5.47
the chair lawn., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.96,0.92,28,0,0,0,0.28,9,1286,3.11,1876,368,2244,3.27,2.57,5.84
the prison island., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,2.68,1.49,28,0,0,0,0.11,12,4724,3.67,1239,1209,2448,3.09,3.08,6.18
the phone field., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.74,1.26,27,0,0,0,0.03,10,2678,3.43,1414,2327,3741,3.15,3.37,6.52
the door cabin., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.79,0.82,29,0,0,0,0.29,9,333,2.52,5891,485,6376,3.77,2.69,6.46
the star infant., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,1.34,1.34,29,0,0,0,0,10,47,1.68,952,372,1324,2.98,2.57,5.55
the soap dove., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,0.96,1.26,28,0,0.011,0.01,0.06,8,0,0,367,52,419,2.56,1.72,4.28
the golf shirt., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,28,0,0,0,0.14,9,103051,5.01,546,812,1358,2.74,2.91,5.65
the juice grape., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.39,1.29,28,0.01,0.042,0.03,0.17,10,1349,3.13,365,37,402,2.56,1.57,4.13
the body car., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.11,1.23,28,0,0,0,0.06,7,6657,3.82,5243,4944,10187,3.72,3.69,7.41
the pot honey., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,0.59,0.87,29,0,0,0,0.15,8,191,2.28,416,371,787,2.62,2.57,5.19
the pipe pot., Nonsense, Makes Sense, Makes Sense,2,2,2,-1,0.9,1.11,29,0,0,0,0.3,7,146,2.17,402,416,818,2.6,2.62,5.22
the money coin., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.96,1.23,28,0.01,0.019,0.01,0.5,9,1057,3.02,7226,140,7366,3.86,2.15,6.01
the picture dog., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.32,1.25,28,0,0,0,0.09,10,10603,4.03,1905,1285,3190,3.28,3.11,6.39
the bulb refrigerator., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.03,1.21,29,0,0,0,0.22,16,0,0,116,152,268,2.06,2.18,4.25
the cat meat., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.52,1.43,29,0,0,0,0.02,7,3968,3.6,739,1280,2019,2.87,3.11,5.98
the knife army., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.97,1.12,29,0,0,0,0.03,9,285,2.46,663,1933,2596,2.82,3.29,6.11
the chocolate ice., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,0.93,1.19,29,1,CREAM,0.5,0.4,12,44178,4.65,232,934,1166,2.37,2.97,5.34
the church bell., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,28,0.01,0.031,0.02,0.18,10,23628,4.37,2844,507,3351,3.45,2.71,6.16
the teeth milk., Nonsense, Makes Sense, Nonsense,2,2,2,-1,0.52,0.83,29,0,0,0,0.1,9,52,1.72,1396,1868,3264,3.14,3.27,6.42
the salad cranberry., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.04,1,28,0,0,0,0.5,14,141,2.15,281,10,291,2.45,1,3.45
the dollar television., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,0.79,1.37,28,0,0,0,0.05,16,1168,3.07,263,2033,2296,2.42,3.31,5.73
the fire truck., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.86,0.74,29,0,0.03,0.02,0.15,9,173868,5.24,2738,444,3182,3.44,2.65,6.08
the dollar gun., Nonsense, Makes Sense, Makes Sense,2,2,2,1,1.04,1.07,28,0,0,0,0.09,9,1225,3.09,263,1138,1401,2.42,3.06,5.48
the taxi home., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,1.57,1.6,28,0.01,0,0,0.22,8,11196,4.05,529,8831,9360,2.72,3.95,6.67
the cane candy., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,1.64,1.42,28,0,0.072,0.04,0.28,9,563,2.75,177,113,290,2.25,2.05,4.3
the crib home., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,0.71,1.12,28,0,0,0,0.15,8,90,1.96,19,8831,8850,1.28,3.95,5.22
the radio magazine., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,1.45,1.53,29,0,0,0,0.34,13,6618,3.82,1503,703,2206,3.18,2.85,6.02
the prison ship., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,2.46,1.5,28,0,0,0,0.12,10,7457,3.87,1239,793,2032,3.09,2.9,5.99
the witch doctor., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.68,0.77,28,0.04,0.041,0.04,0.16,11,30319,4.48,279,2376,2655,2.45,3.38,5.82
the bike leg., Makes Sense, Makes Sense, Nonsense,4,2,2,1,1.14,1.36,29,0,0,0,0.16,7,6305,3.8,153,1137,1290,2.18,3.06,5.24
the winter sun., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.53,1.05,55,0.01,0,0,0.24,9,48092,4.68,1423,2689,4112,3.15,3.43,6.58
the star screen., Nonsense, Makes Sense, Nonsense,2,2,2,-1,1.07,1.18,28,0,0,0,0.07,10,757,2.88,952,518,1470,2.98,2.71,5.69
the nut bag., Nonsense, Makes Sense, Nonsense,2,2,2,1,3.32,1.16,28,0,0,0,0.2,6,1335,3.13,123,1122,1245,2.09,3.05,5.14
the cottage home., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,2.96,1.26,28,0.02,0.04,0.03,0.37,11,38768,4.59,555,8831,9386,2.74,3.95,6.69
the trout river., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,2.72,1.31,29,,0,0,0.2,10,2159,3.33,560,1938,2498,2.75,3.29,6.04
the flower pot., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.86,0.76,28,0.07,0.048,0.06,0.19,9,66471,4.82,496,416,912,2.7,2.62,5.31
the screen sun., Nonsense, Makes Sense, Nonsense,2,2,2,-1,1.29,1.24,28,0,0.013,0.01,0.02,9,498,2.7,518,2689,3207,2.71,3.43,6.14
the corn dog., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,3.96,0.19,28,0,0,0,0.05,7,11339,4.05,445,1285,1730,2.65,3.11,5.76
the window bus., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,1.32,1.31,28,0,0,0,0.15,9,1929,3.29,2372,1155,3527,3.38,3.06,6.44
the window garden., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,2,1.39,29,0.01,0,0,0.37,12,1912,3.28,2372,1998,4370,3.38,3.3,6.68
the cranberry juice., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,29,,,,0.28,14,95920,4.98,10,365,375,1,2.56,3.56
the baby clothes., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,28,0.01,0,0,0.16,11,334468,5.52,3281,2225,5506,3.52,3.35,6.86
the house tree., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,1.18,1.16,28,0,0,0,0.15,9,2660,3.43,8601,1293,9894,3.93,3.11,7.05
the cat tree., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,1.21,1.5,29,0,0,0,0.25,7,16502,4.22,739,1293,2032,2.87,3.11,5.98
the money mask., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.03,1.21,29,0,0,0,0.06,9,0,0,7226,253,7479,3.86,2.4,6.26
the honey cake., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.21,1.2,28,0,0,0,0.39,9,6422,3.81,371,383,754,2.57,2.58,5.15
the corn bread., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,4,0,29,0.01,0.029,0.02,0.39,9,52553,4.72,445,1327,1772,2.65,3.12,5.77
the duck soup., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.36,1.06,28,0.01,0.074,0.04,0.23,8,5606,3.75,174,362,536,2.24,2.56,4.8
the church key., Makes Sense, Makes Sense, Makes Sense,4,3,2,1,3.79,0.83,28,0,0,0,0.06,9,3314,3.52,2844,1281,4125,3.45,3.11,6.56
the car window., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.93,0.37,29,0,0,0,0.23,9,128177,5.11,4944,2372,7316,3.69,3.38,7.07
the truck water., Makes Sense, Makes Sense, Makes Sense,4,3,2,-1,0.86,1.11,28,0,0,0,0.07,10,1785,3.25,444,7749,8193,2.65,3.89,6.54
the picture television., Makes Sense, Makes Sense, Makes Sense,4,3,3,-1,2.04,1.4,28,0,0,0,0.16,17,668,2.83,1905,2033,3938,3.28,3.31,6.59
the house building., Makes Sense, Nonsense, Makes Sense,4,3,3,1,1.29,1.12,28,0.02,0.024,0.02,0.2,13,95106,4.98,8601,2854,11455,3.93,3.46,7.39
the gold glove., Makes Sense, Makes Sense, Makes Sense,4,3,3,1,3.79,0.57,28,0,0,0,0.01,9,7901,3.9,1575,82,1657,3.2,1.91,5.11
